file_name,description,documentation,chapter
q02099,"Great Britain And Ireland Great Britain and Ireland: Tonnage of Vessels Under Construction At End Of Quarter, Lloyd's Register FIRST, 1882 - SECOND, 1939","VAR 0677      02099 VESSELS  R 882-939               MD= 1E-37
REF 0677         LOC 1015 WIDTH  9             DK  17 COL 17-25
EXP DEC=  1

GREAT BRITAIN AND IRELAND: TONNAGE OF VESSELS UNDER
CONSTRUCTION AT END OF QUARTER, LLOYD'S REGISTER
ORIGINAL DATA
---------------------------------------------------

NBER SERIES: 02099
AREA COVERED: GREAT BRITAIN AND IRELAND
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FIRST, 1882 - SECOND, 1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING

NOTES: ONLY MERCHANT VESSELS OF 100 TONS GROSS AND OVER ARE
INCLUDED. DATA SHOWN ARE FOR END OF QUARTER, AND ANNUAL
FIGURES ARE MEANS OF QUARTERLY VALUES.
SEASONALLY ADJUSTED DATA FOR 1882-86 IS SHOWN HERE,
ALTHOUGH THE NBER DID NOT USE IT IN ANALYSIS. NO SEASONALLY
ADJUSTED DATA IS GIVEN FOR 1916-39, BECAUSE NO CONSISTENT
SEASONALITY WAS NOTED. IT IS POSSIBLE THAT LARGE CYCLICAL
MOVEMENTS OBSCURED THE SEASONAL DURING THIS PERIOD.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02099a,"Great Britain And Ireland Great Britain and Ireland: Tonnage of Vessels Under Construction At End Of Quarter, Less Suspensions, Lloyd's FIRST, 1888 - SECOND, 1939","VAR 0679      02099AVESSELS  R 888-939               MD= 1E-37
REF 0679         LOC 1033 WIDTH  9             DK  17 COL 35-43
EXP DEC=  1

GREAT BRITAIN AND IRELAND: TONNAGE OF VESSELS UNDER
CONSTRUCTION AT END OF QUARTER, LESS SUSPENSIONS, LLOYD'S
REGISTER, ORIGINAL DATA
---------------------------------------------------------

NBER SERIES: 02099A
AREA COVERED: GREAT BRITAIN AND IRELAND
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FIRST, 1888 - SECOND, 1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING; COMPUTED
FROM THESE DATA BY NBER

NOTES: ONLY MERCHANT VESSELS OF 100 TONS GROSS AND OVER ARE
INCLUDED. DATA SHOWN ARE FOR END OF QUARTER, AND ANNUAL
FIGURES ARE MEANS OF QUARTERLY VALUES.
SUSPENSIONS ARE VESSELS PREVIOUSLY COMMENCED BUT ON
WHICH NO PROGRESS HAS BEEN MADE DURING QUARTER. NO
SUSPENSIONS 1915-20 AND FROM THIRD QUARTER OF 1924 THROUGH
1931. SEASONALLY ADJUSTED DATA NOT USED 1916-22, 1936-39.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02099b,"Great Britain And Ireland Great Britain and Ireland: Tonnage of Vessels Commerced, Lloyd's Register, Original Data 03/1888-06/1939","VAR 0681      02099BVESSELS  R 888-939               MD= 1E-37
REF 0681         LOC 1051 WIDTH  9             DK  17 COL 53-61
EXP DEC=  1

GREAT BRITAIN AND IRELAND: TONNAGE OF VESSELS COMMERCED,
LLOYD'S REGISTER, ORIGINAL DATA
--------------------------------------------------------

NBER SERIES: 02099B
AREA COVERED: GREAT BRITAIN AND IRELAND
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1888-06/1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING.

NOTES: ONLY MERCHANT VESSELS OF 100 TONS GROSS AND OVER ARE
INCLUDED. SEASONALLY ADJUSTED DATA NOT USED 1916-22,
1936-39.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02099c,"Great Britain And Ireland Great Britain and Ireland: Tonnage of Vessels Launched, Lloyd's Register, Original Data FIRST, 1888 - SECOND, 1939","VAR 0683      02099CVESSELS  R 888-939               MD= 1E-37
REF 0683         LOC 1069 WIDTH  9             DK  17 COL 71-79
EXP DEC=  1

GREAT BRITAIN AND IRELAND: TONNAGE OF VESSELS LAUNCHED,
LLOYD'S REGISTER, ORIGINAL DATA
-------------------------------------------------------

NBER SERIES: 02099C
AREA COVERED: GREAT BRITAIN AND IRELAND
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FIRST, 1888 - SECOND, 1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING

NOTES: ONLY MERCHANT VESSELS OF 100 TONS GROSS AND OVER ARE
INCLUDED. SEASONALLY ADJUSTED DATA NOT USED 1922-39.
LAUNCHING REFERS TO SETTING A VESSEL AFLOAT, AND
OCCURS---FOR SHIPS OF THE SIZE INCLUDED BY LLOYD'S---WHEN
THE VESSEL IS STILL UNDER CONSTRUCTION.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.

",02
q02100,"Germany: Tonnage of Vessels Under Construction At End Of Quarter, Lloyd's Register SECOND, 1889 - SECOND, 1914; THIRD, 1922 - SECOND, 1939","VAR 0685      02100 VESSELS  R 889-939               MD= 1E-37
REF 0685         LOC 1087 WIDTH  9             DK  18 COL 26-34
EXP DEC=  1

GERMANY: TONNAGE OF VESSELS UNDER CONSTRUCTION AT END OF
QUARTER, LLOYD'S REGISTER
--------------------------------------------------------

NBER SERIES: 02100
AREA COVERED: GERMANY
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: SECOND, 1889 - SECOND, 1914; THIRD, 1922
- SECOND, 1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING.

NOTES: ONLY MERCHANT VESSELS OF 100 GROSS TONS AND OVER ARE
INCLUDED IN THIS SERIES. ANNUAL FIGURES ARE MEANS OF
QUARTERLY VALUES.
SEASONALLY ADJUSTED DATA NOT USED. RETURNS INCOMPLETE
FOR THIRD AND FOURTH QUARTERS OF 1904 AND FOURTH QUARTER OF
1909 (DANZIG NOT REPORTING); THIRD QUARTER OF 1922 IS AN
APPROXIMATE VALUE. DATA MISSING FROM THIRD QUARTER 1914 TO
SECOND QUARTER 1922, BECAUSE OF WORLD WAR I.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02101,"France: Tonnage of Vessels Under Construction At End Of Quarter, F. W. Dodge Corp. 2/1889 - 2/1914; 1/1918 - 1/1939","VAR 0686      02101 VESSELS  R 889-939               MD= 1E-37
REF 0686         LOC 1096 WIDTH  9             DK  18 COL 35-43
EXP DEC=  1

FRANCE: TONNAGE OF VESSELS UNDER CONSTRUCTION AT END OF
QUARTER, F. W. DODGE CORP.
-------------------------------------------------------

NBER SERIES: 02101
AREA COVERED: FRANCE
UNITS: THOUSAND GROSS TONS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 2/1889 - 2/1914; 1/1918 - 1/1939
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""LLOYD'S REGISTER SHIPBUILDING RETURNS"" AND LETTER
FROM LONDON OFFICE OF LLOYD'S REGISTER OF SHIPPING

NOTES: ONLY MERCHANT VESSELS OF 100 GROSS TONS AND OVER ARE
INCLUDED IN THIS SERIES. ANNUAL FIGURES ARE MEANS OF
QUARTERLY VALUES.
SEASONALLY ADJUSTED DATA NOT USED; SERIES SHOWS NO
SEASONAL VARIATION. 1914-18 DATA MISSING DUE TO WORLD WAR I.
DATA FOR THE FOLLOWING QUARTERS ARE INCOMPLETE: IV,
1890; I, II, 1891; I-IV, 1893; I, 1894.
GROSS TONNAGE REPRESENTS, IN UNITS OF 100 CUBIC FEET,
THE ENTIRE CAPACITY OF THE VESSEL, INCLUDING CREW AND ENGINE
SPACE.

CHECKED MANUALLY; CORRECTED 1/15/94.


",02
q02132,"U.S. Linseed Oil Production, Original Data 1918 - 1942 7/1942 - 7/1962","VAR 0861      02132 LNSD OIL R 918-962               MD= 1E-37
REF 0861         LOC 2671 WIDTH  9             DK  43 COL 35-43
EXP DEC=  1

LINSEED OIL PRODUCTION, ORIGINAL DATA
-------------------------------------

NBER SERIES: 02132
AREA COVERED: UNITED STATES
UNITS: MILLION POUNDS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 1918 - 1942
MONTHLY COVERAGE: 7/1942 - 7/1962
SEASONAL ADJUSTMENT: NONE
SOURCE: 1918: U.S. DEPARTMENT OF AGRICULTURE BULLETIN 769
SUPPLEMENT, P. 4; 1919-42: BUREAU OF THE CENSUS BULLETINS,
""ANIMAL AND VEGETABLE FATS AND OILS;"" 1942-62: ""SURVEY OF
CURRENT BUSINESS, 1947 SUPPLEMENT"" AND LATER MONTHLY ISSUES
(FACTS FOR INDUSTRY, SERIES M-17-1, FATS AND OILS) AND
ANNUAL ISSUES (ANIMAL AND VEGETABLE FATS AND OILS).

NOTES: DATA COVER ENTIRE OUTPUT. FOR 1918, MONTHLY FIGURES
ALSO AVAILABLE: JAN. 29.1, FEB. 26.7, MAR. 33.6, APR. 34.0,
MAY 36.1, JUNE 36.5, JULY 28.8, AUG. 28.0, SEP. 27.2, OCT.
33.2, NOV. 31.0, DEC. 31.2

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02137a,"U.S. Southern Pine Lumber Production, Seasonally Adjusted 1946 - 1955 1/1929 - 9/1955","VAR 0817      02137 PN LMBR  A 929-955               MD= 1E-37
REF 0817         LOC 2275 WIDTH  9             DK  37 COL 17-25


SOUTHERN PINE LUMBER PRODUCTION, SEASONALLY ADJUSTED
----------------------------------------------------

NBER SERIES: 02137
AREA COVERED: UNITED STATES
UNITS: MILLION BOARD FEET
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 1946 - 1955
MONTHLY COVERAGE: 1/1929 - 9/1955
SEASONAL ADJUSTMENT: BY NBER
SOURCE: SEE V137

NOTES: SERIES 02137 HAS BEEN SUBDIVIDED INTO TWO  VARIABLES:
(1) V814 -- ORIGINAL DATA, 1916-1934; (2) V815 -- ORIGINAL
DATA, 1929-1955.
SEE V137

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02140,"Great Britain Price of A New, Ready 7500 Ton Cargo Steamer, Original Data FOURTH, 1898 - FOURTH, 1930","VAR 0873      02140 STEAMERS R 898-936               MD= 1E-37
REF 0873         LOC 2779 WIDTH  9             DK  45 COL 17-25
EXP DEC=  1

PRICE OF A NEW, READY 7500 TON CARGO STEAMER, ORIGINAL DATA
-----------------------------------------------------------

NBER SERIES: 02140
AREA COVERED: GREAT BRITAIN
UNITS: THOUSAND POUNDS STERLING
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FOURTH, 1898 - FOURTH, 1930
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE:""FAIRPLAY: WEEKLY SHIPPING JOURNAL"", JANUARY 14,
1937, P. 92, FOR 1900 ON; 1898-99 READ FROM CHART IN SAME
SOURCE.

NOTES: NBER USED A LINEAR INTERPOLATION TO ESTIMATE
QUARTERLY FIGURES WHEN DATA WERE GIVEN SEMI-ANNUALLY.

CHECKED MANUALLY; CORRECTED 1/15/94.


",02
q02142,"U.S. Contracts For Chemical Plants, Value, F. W. Dodge Corp. 03/1925-12/1944 01/1925-12/1944","VAR 0553      02142 CHM PLNT R 925-944               MD= 1E-37
REF 0553         LOC 2833 WIDTH  9             DK  45 COL 71-79


CONTRACTS FOR CHEMICAL PLANTS, VALUE, F. W. DODGE CORP.
-------------------------------------------------------

NBER SERIES: 02142
AREA COVERED: U.S., 37 STATES
UNITS: THOUSAND CURRENT DOLLARS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1925-12/1944
MONTHLY COVERAGE: 01/1925-12/1944
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SERIES 02142 IS PRESENTED HERE AS 3 VARIABLES: (1)
ORIGINAL DATA, 27 STATES, 1919-25; (2) ORIGINAL DATA, 36
STATES, 1923-28; (3) ORIGINAL DATA, 37 STATES, 1925-44.

NOTES: SEE V142

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.

",02
q02142a,"U.S. Contracts For Chemical Plants, Value, F. W. Dodge Corp. 03/1919-12/1925 01/1919-12/1925","VAR 0551      02142 CHM PLNT R 919-925               MD= 1E-37
REF 0551         LOC 2815 WIDTH  9             DK  45 COL 53-61


CONTRACTS FOR CHEMICAL PLANTS, VALUE, F. W. DODGE CORP.
-------------------------------------------------------

NBER SERIES: 02142
AREA COVERED: U.S., 27 STATES
UNITS: THOUSAND CURRENT DOLLARS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1919-12/1925
MONTHLY COVERAGE: 01/1919-12/1925
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SERIES 02142 IS PRESENTED HERE AS 3 VARIABLES: (1)
ORIGINAL DATA, 27 STATES, 1919-25; (2) ORIGINAL DATA, 36
STATES, 1923-28; (3) ORIGINAL DATA, 37 STATES, 1925-44.
DATA WERE GIVEN BY SOURCE MONTHLY, CONVERTED BY NBER TO
QUARTERLY SERIES BECAUSE OF LARGE FLUCTUATIONS.
FOR FURTHER INFORMATION SEE INTRODUCTORY NOTES ON F. W.
DODGE CORP. DATA.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02142b,"U.S. Contracts For Chemical Plants, Value, F. W. Dodge Corp. 03/1923-12/1928 01/1923-12/1928","VAR 0552      02142 CHM PLNT R 923-928               MD= 1E-37
REF 0552         LOC 2824 WIDTH  9             DK  45 COL 62-70


CONTRACTS FOR CHEMICAL PLANTS, VALUE, F. W. DODGE CORP.
-------------------------------------------------------

NBER SERIES: 02142
AREA COVERED: U.S., 36 STATES
UNITS: THOUSAND CURRENT DOLLARS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1923-12/1928
MONTHLY COVERAGE: 01/1923-12/1928
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SERIES 02142 IS PRESENTED HERE AS 3 VARIABLES: (1)
ORIGINAL DATA, 27 STATES, 1919-25; (2) ORIGINAL DATA, 36
STATES, 1923-28; (3) ORIGINAL DATA, 37 STATES, 1925-44.
SEE V142

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02143a,"U.S. Contracts For Chemical Plants, Floor Space, F. W. Dodge Corp. 03/1919-12/1925 01/1919-12/1925","VAR 0557      02143 CHM PLNT R 919-925               MD= 1E-37
REF 0557         LOC 2869 WIDTH  9             DK  46 COL 44-52


CONTRACTS FOR CHEMICAL PLANTS, FLOOR SPACE, F. W. DODGE
CORP.
-------------------------------------------------------

NBER SERIES: 02143
AREA COVERED: U.S., 27 STATES
UNITS: THOUSAND SQUARE FEET
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1919-12/1925
MONTHLY COVERAGE: 01/1919-12/1925
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SERIES 02143 IS PRESENTED HERE AS 3 VARIABLES: (1)
ORIGINAL DATA, 27 STATES, 1919-25; (2) ORIGINAL DATA, 36
STATES, 1923-28; (3) ORIGINAL DATA, 37 STATES, 1925-44.
DATA WERE GIVEN BY SOURCE MONTHLY, CONVERTED BY NBER TO
QUARTERLY SERIES BECAUSE OF LARGE FLUCTUATIONS.
FOR FURTHER INFORMATION SEE INTRODUCTORY NOTES ON F. W.
DODGE CORP. DATA.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02143b,"U.S. Contracts For Chemical Plants, Floor Space, F. W. Dodge Corp. 03/1923-12/1928 01/1923-12/1928","VAR 0558      02143 CHM PLNT R 923-928               MD= 1E-37
REF 0558         LOC 2878 WIDTH  9             DK  46 COL 53-61


CONTRACTS FOR CHEMICAL PLANTS, FLOOR SPACE, F. W. DODGE
CORP.
-------------------------------------------------------

NBER SERIES: 02143
AREA COVERED: U.S., 36 STATES
UNITS: THOUSAND SQUARE FEET
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1923-12/1928
MONTHLY COVERAGE: 01/1923-12/1928
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SERIES 02143 IS PRESENTED HERE AS 3 VARIABLES: (1)
ORIGINAL DATA, 27 STATES, 1919-25; (2) ORIGINAL DATA, 36
STATES, 1923-28; (3) ORIGINAL DATA, 37 STATES, 1925-44.
SEE V143

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02143c,"U.S. Contracts For Chemical Plants, Floor Space, F. W. Dodge Corp. 03/1925-12/1944 01/1925-12/1944","VAR 0559      02143 CHM PLNT R 925-944               MD= 1E-37
REF 0559         LOC 2887 WIDTH  9             DK  46 COL 62-70


CONTRACTS FOR CHEMICAL PLANTS, FLOOR SPACE, F. W. DODGE
CORP.
-------------------------------------------------------

NBER SERIES: 02143
AREA COVERED: U.S., 37 STATES
UNITS: THOUSAND SQUARE FEET
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: 03/1925-12/1944
MONTHLY COVERAGE: 01/1925-12/1944
SEASONAL ADJUSTMENT: NONE
SOURCE: F. W. DODGE CORP. FILES

NOTES: SEE V143

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02155a,"U.S. Gross Private Domestic Investment in Structures, Office of Business Economics 03/1939-12/1946","VAR 0044      02155 PVT STRC R 939-946               MD= 1E-37
REF 0044         LOC  376 WIDTH  9             DK   6 COL 71-79
EXP DEC=  1

GROSS PRIVATE DOMESTIC INVESTMENT IN STRUCTURES, OFFICE OF
BUSINESS ECONOMICS
----------------------------------------------------------

NBER SERIES:  02155
AREA COVERED:  U.S. (SEE NOTE)
UNITS:  BILLION CURRENT DOLLARS, ANNUAL RATE
ANNUAL COVERAGE:  NONE
QUARTERLY COVERAGE:  03/1939-12/1946
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  1939-45,""NATIONAL INCOME,"" A SUPPLEMENT TO ""SURVEY
OF CURRENT BUSINESS,"" DEPT OF COMM., 1954; 1946,""SURVEY OF
CURRENT BUSINESS,"" JULY 1958.

NOTES:  SERIES 02155 IS PRESENTED HERE AS 4 VARIABLES:  (1)
ORIGINAL DATA, QUARTERLY, 1939-46; (2) ORIGINAL DATA,
QUARTERLY, 1946-67; (3) ANNUAL DATA, 1921-39; (7) ANNUAL DATA,
1929-63.
THIS SERIES REPRESENTS THE INVESTMENT-IN-STRUCTURES
COMPONENT OF GROSS PRIVATE DOMESTIC INVESTMENT INCLUDED IN
THE NATIONAL INCOME AND PRODUCT ACCOUNTS, PREPARED BY THE
NATIONAL INCOME DIVISION, OFFICE OF BUSINESS ECONOMICS, U.S.
DEPT. OF COMMERCE.
FOR FURTHER INFORMATION, CONSULT LIPSEY AND PRESTON,
PP. 272-273.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.                   ""

",02
q02155b,"U.S. Gross Private Domestic Investment in Structures, Office of Business Economics 03/1946-12/1967","VAR 0045      02155 PVT STRC R 946-967               MD= 1E-37
REF 0045         LOC  385 WIDTH  9             DK   7 COL 17-25
EXP DEC=  1

GROSS PRIVATE DOMESTIC INVESTMENT IN STRUCTURES, OFFICE OF
BUSINESS ECONOMICS
----------------------------------------------------------

NBER SERIES:  02155
AREA COVERED:  U.S. (SEE NOTE)
UNITS:  BILLION CURRENT DOLLARS, ANNUAL RATE
ANNUAL COVERAGE:  NONE
QUARTERLY COVERAGE:  03/1946-12/1967
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  1946-63,""THE NATIONAL INCOME AND PRODUCT ACCOUNTS
OF THE UNITED STATES,""  (SUPPLEMENT TO""SURVEY OF CURRENT
BUSINESS""), DEPT. OF COMMERCE; 1964 F.F.,""SURVEY OF CURRENT
BUSINESS.""

NOTES:  SERIES 02155 IS PRESENTED HERE AS 4 VARIABLES:  (1)
ORIGINAL DATA, QUARTERLY, 1939-46; (2) ORIGINAL DATA,
QUARTERLY, 1946-67; (3) ANNUAL DATA, 1921-39; (7) ANNUAL DATA,
1929-63.
SEE V155

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02155c,"U.S. Gross Private Domestic Investment in Structures, Seasonally Adjusted, Barger & Klein 03/1921-12/1939","VAR 0046      02155 PVT STRC A 921-939               MD= 1E-37
REF 0046         LOC  394 WIDTH  9             DK   7 COL 26-34


GROSS PRIVATE DOMESTIC INVESTMENT IN STRUCTURES, SEASONALLY
ADJUSTED, BARGER & KLEIN
-----------------------------------------------------------

NBER SERIES:  02155
AREA COVERED:  U.S. (SEE NOTE)
UNITS:  MILLION CURRENT DOLLARS, QUARTERLY RATE
ANNUAL COVERAGE:  NONE
QUARTERLY COVERAGE:  03/1921-12/1939
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  SEASONALLY ADJUSTED BY BARGER & KLEIN
SOURCE:  1921-38, UNPUBLISHED ESTIMATES DEVELOPED BY HAROLD
BARGER & LAWRENCE R. KLEIN FOR THEIR ARTICLE,""A QUARTERLY
MODEL FOR THE UNITED STATES ECONOMY.""  (JOURNAL OF THE
AMERICAN STATISTICAL ASSOCIATION, SEPT., 1954); 1939,
NATIONAL INCOME SUPPLEMENT TO SURVEY OF CURRENT BUSINESS
(DEPT. OF COMM.), JULY 1947.

NOTES:  SERIES 02155 IS PRESENTED HERE AS 5 VARIABLES:  (1)
ORIGINAL DATA, QUARTERLY, 1939-46; (2) ORIGINAL DATA,
QUARTERLY, 1946-67; (3) SEASONALLY ADJUSTED DATA, QUARTERLY,
1921-39 (4) ANNUAL DATA, 1921-39; (5) ANNUAL DATA, 1929-
THIS SERIES REPRESENTS THE INVESTMENT-IN-STRUCTURES
COMPONENT OF GROSS PRIVATE DOMESTIC INVESTMENT INCLUDED IN
THE NATIONAL INCOME AND PRODUCT ACCOUNTS, PREPARED BY THE
NATIONAL INCOME DIVISION, OFFICE OF BUSINESS ECONOMICS, U.S.
DEPT. OF COMMERCE.
FOR FURTHER INFORMATION, CONSULT LIPSEY & PRESTON, PP.
272-273.
THE ESTIMATES PRESENTED IN THIS VARIABLE WERE DEVELOPED
BY BARGER & KLEIN, AND REVISED TO CONFORM TO THE LEVEL OF
OBE ANNUAL SERIES FOR 1929-38.
ORIGINALS MISSING; NOT PROOFREAD.
",02
q02157,"U.S. Linseed Oil Shipments, Original Data SECOND, 1919 - FOURTH, 1942 7/1942 - 12/1955","VAR 0863      02157 LNSD OIL R 920-955               MD= 1E-37
REF 0863         LOC 2689 WIDTH  9             DK  43 COL 53-61
EXP DEC=  1

LINSEED OIL SHIPMENTS, ORIGINAL DATA
------------------------------------

NBER SERIES: 02157
AREA COVERED: UNITED STATES
UNITS: MILLION POUNDS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: SECOND, 1919 - FOURTH, 1942
MONTHLY COVERAGE: 7/1942 - 12/1955
SEASONAL ADJUSTMENT: NONE
SOURCE: SAME AS FOR SERIES 02132 COMPILED BY NBER: SERIES
02157 = STOCK AT BEGINNING OF PERIOD (05042) + PRODUCTION
DURING PERIOD (02132) - STOCK AT END OF PERIOD.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02159,"U.S. Value of Permits For Commercial Buildings, Five Cities, David T. Lapkin FOURTH, 1871 - FOURTH, 1919","VAR 0565      02159 CMR BLD  R 871-919               MD= 1E-37
REF 0565         LOC    7 WIDTH  9             DK   1 COL 17-25
EXP DEC=  1

VALUE OF PERMITS FOR COMMERCIAL BUILDINGS, FIVE CITIES,
DAVID T. LAPKIN
-------------------------------------------------------

NBER SERIES: 02159
AREA COVERED: U.S., FIVE CITIES
UNITS: THOUSAND CURRENT DOLLARS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FOURTH, 1871 - FOURTH, 1919
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE: DAVID T. LAPKIN,""BUILDING CONSTRUCTION AND BUSINESS
CYCLES, 1870-1938,"" PHD DISSERTATION, COLUMBIA, 1956

NOTES: CONTENT: THE FIVE CITIES ARE BOSTON, CLEVELAND, LOS
ANGELES, MILWAUKEE, AND PITTSBURGH.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
q02160,"U.S. Value of Permits For Industrial Buildings, Five Cities, David T. Lapkin FOURTH, 1871 - FOURTH, 1919","VAR 0567      02160 NDST BLD R 871-919               MD= 1E-37
REF 0567         LOC   25 WIDTH  9             DK   1 COL 35-43
EXP DEC=  1

VALUE OF PERMITS FOR INDUSTRIAL BUILDINGS, FIVE CITIES,
DAVID T. LAPKIN
-------------------------------------------------------

NBER SERIES: 02160
AREA COVERED: U.S., 5 CITIES
UNITS: THOUSAND CURRENT DOLLARS
ANNUAL COVERAGE: NONE
QUARTERLY COVERAGE: FOURTH, 1871 - FOURTH, 1919
MONTHLY COVERAGE: NONE
SEASONAL ADJUSTMENT: NONE
SOURCE: DAVID T. LAPKIN,""BUILDING CONSTRUCTION AND BUSINESS
CYCLES, 1873-1938,"" PHD DISSERTATION, COLUMBIA, 1956

NOTES: CONTENT: THE FIVE CITIES ARE BOSTON, CLEVELAND, LOS
ANGELES, MILWAUKEE, AND PITTSBURGH

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",02
